samp_id,date,DEPARTAMENTO,PROVINCIA,DISTRITO,LOCALIDAD,ESPECIE,RESULTADO.FINAL,PDL,SES_median,SES_mode,lon,lat
2015_46,2015-03-13,AREQUIPA,AREQUIPA,J.L.B. Y R,S. BOLIVAR,CAN,NEGATIVO,1.8.12,C,C,-71.5110868089567, -16.4445145979982
2015_47,2015-03-13,AREQUIPA,AREQUIPA,M. MELGAR,G. SAN MARTIN,CAN,NEGATIVO,1.10.37,C,C,-71.4963385419103, -16.4026411526127
2015_48,2015-03-13,AREQUIPA,AREQUIPA,M. MELGAR,G. SAN MARTIN,CAN,NEGATIVO,1.10.37,C,C,-71.4963385419103, -16.4026411526127
2015_49,2015-03-13,AREQUIPA,AREQUIPA,M. MELGAR,G. SAN MARTIN,CAN,NEGATIVO,1.10.37,C,C,-71.4963385419103, -16.4026411526127
2015_52,2015-03-13,AREQUIPA,AREQUIPA,M. MELGAR,M. MELGAR,CAN,NEGATIVO,1.10.2,B,B,-71.5075955609585, -16.402368289414
2015_53,2015-03-17,AREQUIPA,AREQUIPA,A.S.A.,LAS MALVINAS,CAN,POSITIVO,1.1.72,C,C,-71.5130624274488, -16.3673007262657
2015_54,2015-03-17,AREQUIPA,AREQUIPA,HUNTER,BELLAVISTA,CAN,NEGATIVO,1.7.52,C,C,-71.5471245591508, -16.430305023061
2015_55,2015-03-17,AREQUIPA,AREQUIPA,HUNTER,CHILPINILLA,CAN,NEGATIVO,1.7.26,C,C,-71.5517417648644, -16.4397056956374
2015_69,2015-03-18,AREQUIPA,AREQUIPA,J.L.B. Y R,ADEPA,CAN,NEGATIVO,1.8.90,A,A,-71.5319209034712, -16.417657928741
2015_70,2015-03-18,AREQUIPA,AREQUIPA,J.L.B. Y R,ADEPA,CAN,NEGATIVO,1.8.90,A,A,-71.5319209034712, -16.417657928741
2015_60,2015-03-18,AREQUIPA,AREQUIPA,A.S.A.,EL CHAPARRAL,CAN,NEGATIVO,1.1.59,D,D,-71.5099324590172, -16.3643303076364
2015_61,2015-03-18,AREQUIPA,AREQUIPA,A.S.A.,EL CHAPARRAL,CAN,NEGATIVO,1.1.59,D,D,-71.5099324590172, -16.3643303076364
2015_62,2015-03-18,AREQUIPA,AREQUIPA,A.S.A.,EL CHAPARRAL,CAN,NEGATIVO,1.1.59,D,D,-71.5099324590172, -16.3643303076364
2015_63,2015-03-18,AREQUIPA,AREQUIPA,A.S.A.,EL CHAPARRAL,CAN,NEGATIVO,1.1.59,D,D,-71.5099324590172, -16.3643303076364
2015_64,2015-03-18,AREQUIPA,AREQUIPA,A.S.A.,EL CHAPARRAL,CAN,NEGATIVO,1.1.59,D,D,-71.5099324590172, -16.3643303076364
2015_65,2015-03-18,AREQUIPA,AREQUIPA,A.S.A.,EL CHAPARRAL,CAN,NEGATIVO,1.1.59,D,D,-71.5099324590172, -16.3643303076364
2015_66,2015-03-18,AREQUIPA,AREQUIPA,A.S.A.,LAS MALVINAS,CAN,NEGATIVO,1.1.72,C,C,-71.5130624274488, -16.3673007262657
2015_68,2015-03-18,AREQUIPA,AREQUIPA,A.S.A.,LAS MALVINAS,CAN,NEGATIVO,1.1.72,C,C,-71.5130624274488, -16.3673007262657
2015_57,2015-03-18,AREQUIPA,AREQUIPA,PAUCARPATA,A. PAUCARPATA,CAN,NEGATIVO,NA,NA,NA,NA,NA
2015_71,2015-03-25,AREQUIPA,AREQUIPA,A.S.A.,EL CHAPARRAL,CAN,NEGATIVO,1.1.59,D,D,-71.5099324590172, -16.3643303076364
2015_72,2015-03-25,AREQUIPA,AREQUIPA,A.S.A.,EL CHAPARRAL,CAN,NEGATIVO,1.1.59,D,D,-71.5099324590172, -16.3643303076364
2015_74,2015-03-25,AREQUIPA,AREQUIPA,A.S.A.,EL CHAPARRAL,CAN,NEGATIVO,1.1.59,D,D,-71.5099324590172, -16.3643303076364
2015_75,2015-03-25,AREQUIPA,AREQUIPA,A.S.A.,EL CHAPARRAL,CAN,NEGATIVO,1.1.59,D,D,-71.5099324590172, -16.3643303076364
2015_76,2015-03-25,AREQUIPA,AREQUIPA,A.S.A.,EL CHAPARRAL,CAN,NEGATIVO,1.1.59,D,D,-71.5099324590172, -16.3643303076364
2015_77,2015-03-25,AREQUIPA,AREQUIPA,A.S.A.,EL CHAPARRAL,CAN,NEGATIVO,1.1.59,D,D,-71.5099324590172, -16.3643303076364
2015_78,2015-03-25,AREQUIPA,AREQUIPA,A.S.A.,EL CHAPARRAL,CAN,NEGATIVO,1.1.59,D,D,-71.5099324590172, -16.3643303076364
2015_79,2015-03-25,AREQUIPA,AREQUIPA,A.S.A.,EL CHAPARRAL,CAN,NEGATIVO,1.1.59,D,D,-71.5099324590172, -16.3643303076364
2015_80,2015-03-25,AREQUIPA,AREQUIPA,A.S.A.,EL CHAPARRAL,CAN,NEGATIVO,1.1.59,D,D,-71.5099324590172, -16.3643303076364
2015_81,2015-03-25,AREQUIPA,AREQUIPA,A.S.A.,EL CHAPARRAL,CAN,NEGATIVO,1.1.59,D,D,-71.5099324590172, -16.3643303076364
2015_82,2015-03-25,AREQUIPA,AREQUIPA,A.S.A.,EL CHAPARRAL,CAN,NEGATIVO,1.1.59,D,D,-71.5099324590172, -16.3643303076364
2015_83,2015-03-25,AREQUIPA,AREQUIPA,A.S.A.,EL CHAPARRAL,CAN,NEGATIVO,1.1.59,D,D,-71.5099324590172, -16.3643303076364
2015_84,2015-03-25,AREQUIPA,AREQUIPA,A.S.A.,EL CHAPARRAL,CAN,NEGATIVO,1.1.59,D,D,-71.5099324590172, -16.3643303076364
2015_73,2015-03-25,AREQUIPA,AREQUIPA,MIRAFLORES,UPIS EL SALVADOR,CAN,POSITIVO,1.11.54,D,D,-71.4980550894121, -16.3729658629367
2015_85,2015-03-25,AREQUIPA,AREQUIPA,A.S.A.,INDEPENDENCIA,CAN,NEGATIVO,NA,NA,NA,NA,NA
2015_86,2015-03-26,AREQUIPA,AREQUIPA,MIRAFLORES,A. SALAVERRY,CAN,NEGATIVO,1.11.64,B,B,-71.5106904456261, -16.3938489479457
2015_87,2015-03-30,AREQUIPA,AREQUIPA,J.L.B. Y R,LOS HUERTOS,CAN,NEGATIVO,1.8.25,B,B,-71.5193781097716, -16.4384473538816
2015_90,2015-03-30,AREQUIPA,AREQUIPA,YURA,LA ESTACION,CAN,NEGATIVO,1.X.8,NA,NA,NA,NA
2015_92,2015-03-30,AREQUIPA,AREQUIPA,M. MELGAR,ATALAYA,CAN,POSITIVO,1.10.13,C,C,-71.5015782396812, -16.3975857522582
2015_93,2015-03-30,AREQUIPA,AREQUIPA,M. MELGAR,ATALAYA,CAN,NEGATIVO,1.10.13,C,C,-71.5015782396812, -16.3975857522582
2015_88,2015-03-30,AREQUIPA,AREQUIPA,C. COLORADO,V. LAS CANTERAS,CAN,NEGATIVO,1.4.204,D,D,-71.5839250401908, -16.3370107298538
2015_91,2015-03-30,AREQUIPA,AREQUIPA,CAYMA,CAYMA,CAN,NEGATIVO,1.3.5,B,B,-71.5486269577525, -16.3877358829383
2015_94,2015-03-30,AREQUIPA,AREQUIPA,MIRAFLORES,UPIS EL SALVADOR,CAN,NEGATIVO,1.11.54,D,D,-71.4980550894121, -16.3729658629367
2015_95,2015-03-30,AREQUIPA,AREQUIPA,MIRAFLORES,UPIS EL SALVADOR,CAN,NEGATIVO,1.11.54,D,D,-71.4980550894121, -16.3729658629367
2015_96,2015-03-30,AREQUIPA,AREQUIPA,MIRAFLORES,UPIS EL SALVADOR,CAN,NEGATIVO,1.11.54,D,D,-71.4980550894121, -16.3729658629367
2015_97,2015-03-30,AREQUIPA,AREQUIPA,MIRAFLORES,UPIS EL SALVADOR,CAN,NEGATIVO,1.11.54,D,D,-71.4980550894121, -16.3729658629367
2015_98,2015-03-30,AREQUIPA,AREQUIPA,MIRAFLORES,UPIS EL SALVADOR,CAN,NEGATIVO,1.11.54,D,D,-71.4980550894121, -16.3729658629367
2015_101,2015-03-31,AREQUIPA,AREQUIPA,CERCADO,LAS ORQUIDEAS,CAN,POSITIVO,1.10.58,A,A,-71.5272434360545, -16.4111520040943
2015_103,2015-03-31,AREQUIPA,AREQUIPA,M. MELGAR,CALLE ANDIA M.M.,CAN,POSITIVO,1.10.2,B,B,-71.5075955609585, -16.402368289414
2015_104,2015-03-31,AREQUIPA,AREQUIPA,M. MELGAR,PJ BALCONES,CAN,NEGATIVO,1.10.12,D,D,-71.5015348999316, -16.3952053181164
2015_100,2015-03-31,AREQUIPA,AREQUIPA,PAUCARPATA,C. BLANCA,CAN,NEGATIVO,NA,NA,NA,NA,NA
2015_105,2015-04-01,AREQUIPA,AREQUIPA,M. MELGAR,M. BUSTAMANTE,CAN,NEGATIVO,1.10.4,C,C,-71.5062045153073, -16.3953093329177
2015_106,2015-04-01,AREQUIPA,AREQUIPA,M. MELGAR,P. TRADICIONAL,CAN,NEGATIVO,1.10.2,B,B,-71.5075955609585, -16.402368289414
2015_110,2015-04-07,AREQUIPA,AREQUIPA,CERCADO,CERCADO,CAN,NEGATIVO,1.27.65,B,B,-71.5365084988741, -16.3999252208348
2015_111,2015-04-07,AREQUIPA,AREQUIPA,A.S.A.,COOP. ENATRU,CAN,NEGATIVO,1.1.25,C,C,-71.5288010091457, -16.3784415451975
2015_112,2015-04-07,AREQUIPA,AREQUIPA,C. COLORADO,BUGAMBILLAS,CAN,NEGATIVO,1.4.7,B,B,-71.5651439160557, -16.3886934014981
2015_113,2015-04-07,AREQUIPA,AREQUIPA,YANAHUARA,B. BALLON,CAN,NEGATIVO,NA,NA,NA,NA,NA
2015_114,2015-04-08,AREQUIPA,AREQUIPA,A.S.A.,INDEPENDENCIA ZONA B,CAN,POSITIVO,1.1.74,C,C,-71.5190442660254, -16.3657526193805
2015_116,2015-04-09,AREQUIPA,AREQUIPA,CAYMA,A. ALTA,CAN,NEGATIVO,1.3.36,B,B,-71.5417559370768, -16.3609552525431
2015_118,2015-04-09,AREQUIPA,AREQUIPA,MIRAFLORES,TOMASA TITO C,CAN,POSITIVO,1.11.52,D,D,-71.5005170967491, -16.3760256609221
2015_117,2015-04-09,AREQUIPA,AREQUIPA,C. COLORADO,J. ABELARDO,CAN,NEGATIVO,NA,NA,NA,NA,NA
2015_119,2015-04-10,AREQUIPA,AREQUIPA,M. MELGAR,G. SAN MARTIN,CAN,NEGATIVO,1.10.37,C,C,-71.4963385419103, -16.4026411526127
2015_120,2015-04-11,AREQUIPA,AREQUIPA,MIRAFLORES,TOMASA TITO C,CAN,NEGATIVO,1.11.52,D,D,-71.5005170967491, -16.3760256609221
2015_121,2015-04-11,AREQUIPA,AREQUIPA,MIRAFLORES,TOMASA TITO C,CAN,NEGATIVO,1.11.52,D,D,-71.5005170967491, -16.3760256609221
2015_123,2015-04-13,AREQUIPA,AREQUIPA,CAYMA,CAYMA,CAN,NEGATIVO,1.3.5,B,B,-71.5486269577525, -16.3877358829383
2015_124,2015-04-13,AREQUIPA,AREQUIPA,CAYMA,CAYMA,CAN,NEGATIVO,1.3.5,B,B,-71.5486269577525, -16.3877358829383
2015_126,2015-04-14,AREQUIPA,AREQUIPA,A.S.A.,P. DE POLANCO,CAN,NEGATIVO,NA,NA,NA,NA,NA
2015_129,2015-04-15,AREQUIPA,AREQUIPA,M. MELGAR,G. SAN MARTIN,CAN,NEGATIVO,1.10.37,C,C,-71.4963385419103, -16.4026411526127
2015_130,2015-04-15,AREQUIPA,AREQUIPA,M. MELGAR,G. SAN MARTIN,CAN,NEGATIVO,1.10.37,C,C,-71.4963385419103, -16.4026411526127
2015_128,2015-04-15,AREQUIPA,AREQUIPA,CAYMA,JIRON BOLOGNESI,CAN,NEGATIVO,1.3.43,C,C,-71.5420693447487, -16.3488624586944
2015_131,2015-04-17,AREQUIPA,AREQUIPA,MIRAFLORES,J. CHAVEZ,CAN,NEGATIVO,1.11.9,B,B,-71.5193978856751, -16.3928558909948
2015_132,2015-04-17,AREQUIPA,AREQUIPA,MIRAFLORES,TOMASA TITO C,CAN,NEGATIVO,1.11.52,D,D,-71.5005170967491, -16.3760256609221
2015_133,2015-04-17,AREQUIPA,AREQUIPA,MIRAFLORES,TOMASA TITO C,CAN,NEGATIVO,1.11.52,D,D,-71.5005170967491, -16.3760256609221
2015_134,2015-04-20,AREQUIPA,AREQUIPA,A.S.A.,INDEPEND B,CAN,NEGATIVO,1.1.74,C,C,-71.5190442660254, -16.3657526193805
2015_135,2015-04-20,AREQUIPA,AREQUIPA,A.S.A.,INDEPEND B,CAN,NEGATIVO,1.1.74,C,C,-71.5190442660254, -16.3657526193805
2015_137,2015-04-20,AREQUIPA,AREQUIPA,A.S.A.,VILLA UNION,CAN,NEGATIVO,1.1.40,D,D,-71.5055175132252, -16.3672496169297
2015_138,2015-04-20,AREQUIPA,AREQUIPA,A.S.A.,AMP. VILLA UNION,CAN,NEGATIVO,1.1.39,D,D,-71.507954532093, -16.3680378376054
2015_140,2015-04-20,AREQUIPA,AREQUIPA,MIRAFLORES,TOMASA TITO C,CAN,NEGATIVO,1.11.52,D,D,-71.5005170967491, -16.3760256609221
2015_141,2015-04-20,AREQUIPA,AREQUIPA,MIRAFLORES,TOMASA TITO C,CAN,NEGATIVO,1.11.52,D,D,-71.5005170967491, -16.3760256609221
2015_136,2015-04-20,AREQUIPA,AREQUIPA,A.S.A.,APURIMAC,CAN,NEGATIVO,1.1.34,C,C,-71.5101793347374, -16.3718096970282
2015_144,2015-04-21,AREQUIPA,AREQUIPA,CERCADO,H. GOYENECHE,CAN,NEGATIVO,1.11.69,B,B,-71.5276723669141, -16.398419066186
2015_148,2015-04-23,AREQUIPA,AREQUIPA,MIRAFLORES,TOMASA TITO C,CAN,NEGATIVO,1.11.52,D,D,-71.5005170967491, -16.3760256609221
2015_153,2015-04-28,AREQUIPA,AREQUIPA,SOCABAYA,BELLAPAMPA,CAN,NEGATIVO,1.25.21,B,B,-71.5406319030108, -16.4538268045912
2015_157,2015-04-28,AREQUIPA,AREQUIPA,PAUCARPATA,URB LAS TERRAZAS,CAN,NEGATIVO,1.3.29,B,B,-71.5492990406562, -16.3727938810137
2015_158,2015-04-28,AREQUIPA,AREQUIPA,PAUCARPATA,URB LAS TERRAZAS,CAN,NEGATIVO,1.3.29,B,B,-71.5492990406562, -16.3727938810137
2015_159,2015-04-28,AREQUIPA,AREQUIPA,PAUCARPATA,AV. COLON,CAN,NEGATIVO,1.8.30,B,B,-71.5105133050509, -16.4389806871288
2015_160,2015-04-28,AREQUIPA,AREQUIPA,PAUCARPATA,PUEBLO TRADIC.,CAN,NEGATIVO,1.13.1,B,B,-71.5042118449788, -16.4355387685106
2015_152,2015-04-28,AREQUIPA,AREQUIPA,SACHACA,LATERAL 2 CURAL,CAN,NEGATIVO,1.24.11A,Undef,Undef,-71.6089528560084, -16.4167072258027
2015_155,2015-04-28,AREQUIPA,AREQUIPA,YURA,C. DE DIOS,CAN,NEGATIVO,NA,NA,NA,NA,NA
2015_156,2015-04-28,AREQUIPA,AREQUIPA,YURA,C. DE DIOS,CAN,NEGATIVO,NA,NA,NA,NA,NA
2015_161,2015-04-29,AREQUIPA,AREQUIPA,J.L.B. Y R,S. BOLIVAR,CAN,NEGATIVO,1.8.12,C,C,-71.5110868089567, -16.4445145979982
2015_162,2015-04-30,AREQUIPA,AREQUIPA,HUNTER,UPIS PAISAJISTA,CAN,NEGATIVO,1.7.41,C,C,-71.5580542231, -16.4621998153089
2015_165,2015-04-30,AREQUIPA,AREQUIPA,CAYMA,EMBJ DE JAPON,CAN,NEGATIVO,NA,NA,NA,NA,NA
2015_166,2015-05-02,AREQUIPA,AREQUIPA,SOCABAYA,CORAZON DE JESUS,CAN,POSITIVO,1.25.4,C,C,-71.5228805618335, -16.4464814597938
2015_168,2015-05-02,AREQUIPA,AREQUIPA,J.L.B. Y R,LA CANTUTA,CAN,NEGATIVO,1.8.99,A,A,-71.5188766844132, -16.4123802583478
2015_167,2015-05-02,AREQUIPA,AREQUIPA,SOCABAYA,UPIS PAISAJISTA,CAN,NEGATIVO,1.7.41,C,C,-71.5580542231, -16.4621998153089
2015_174,2015-05-08,AREQUIPA,AREQUIPA,SOCABAYA,04oct2023,CAN,NEGATIVO,1.25.3,C,C,-71.5274583109092, -16.4485087019573
2015_175,2015-05-08,AREQUIPA,AREQUIPA,J.L.B. Y R,A. DE LA LUNA,CAN,NEGATIVO,1.8.61,A,A,-71.5248710363458, -16.4309149871096
2015_176,2015-05-08,AREQUIPA,AREQUIPA,J.L.B. Y R,A. DE LA LUNA,CAN,NEGATIVO,1.8.61,A,A,-71.5248710363458, -16.4309149871096
2015_177,2015-05-08,AREQUIPA,AREQUIPA,SOCABAYA,LA CAMPIÑA,CAN,NEGATIVO,1.25.34,B,B,-71.5223159777983, -16.4588518360258
2015_178,2015-05-08,AREQUIPA,AREQUIPA,SOCABAYA,AV PAISAJISTA,CAN,NEGATIVO,1.25.21,B,B,-71.5406319030108, -16.4538268045912
2015_179,2015-05-08,AREQUIPA,AREQUIPA,SOCABAYA,C. MI TRABAJO,CAN,NEGATIVO,1.25.22,B,B,-71.5346227547186, -16.4478288934151
2015_180,2015-05-08,AREQUIPA,AREQUIPA,SOCABAYA,SAN MARTIN,CAN,NEGATIVO,1.25.45,B,B,-71.5317702209777, -16.4417029838283
2015_181,2015-05-11,AREQUIPA,AREQUIPA,CAYMA,A. ALTA,CAN,NEGATIVO,1.3.36,B,B,-71.5417559370768, -16.3609552525431
2015_182,2015-05-11,AREQUIPA,AREQUIPA,CHARACATO,CHARACATO,CAN,NEGATIVO,NA,NA,NA,NA,NA
2015_183,2015-05-11,AREQUIPA,AREQUIPA,CHARACATO,CHARACATO,CAN,NEGATIVO,NA,NA,NA,NA,NA
2015_189,2015-05-15,AREQUIPA,AREQUIPA,C. COLORADO,APIPA,CAN,NEGATIVO,NA,NA,NA,NA,NA
2015_192,2015-05-18,AREQUIPA,AREQUIPA,CHARACATO,CHARACATO,CAN,NEGATIVO,NA,NA,NA,NA,NA
2015_195,2015-05-20,AREQUIPA,AREQUIPA,C. COLORADO,P. INDUSTRIAL R. SECO,CAN,NEGATIVO,1.4.108,D,D,-71.5917579593657, -16.3518602358944
2015_196,2015-05-25,AREQUIPA,AREQUIPA,M. MELGAR,G. SAN MARTIN,CAN,NEGATIVO,1.10.37,C,C,-71.4963385419103, -16.4026411526127
2015_197,2015-05-25,AREQUIPA,AREQUIPA,M. MELGAR,G. SAN MARTIN,CAN,NEGATIVO,1.10.37,C,C,-71.4963385419103, -16.4026411526127
2015_198,2015-05-25,AREQUIPA,AREQUIPA,YURA,C. DE DIOS,CAN,NEGATIVO,NA,NA,NA,NA,NA
2015_200,2015-05-25,AREQUIPA,AREQUIPA,PAUCARPATA,M. GRAU,CAN,NEGATIVO,NA,NA,NA,NA,NA
2015_202,2015-05-25,AREQUIPA,AREQUIPA,SOCABAYA,NA,CAN,NEGATIVO,NA,NA,NA,NA,NA
2015_203,2015-05-25,AREQUIPA,AREQUIPA,SOCABAYA,NA,CAN,NEGATIVO,NA,NA,NA,NA,NA
2015_204,2015-05-29,AREQUIPA,AREQUIPA,HUNTER,UPIS PAISAJISTA,CAN,NEGATIVO,1.7.41,C,C,-71.5580542231, -16.4621998153089
2015_205,2015-05-29,AREQUIPA,AREQUIPA,MIRAFLORES,E. MISTI,CAN,NEGATIVO,NA,NA,NA,NA,NA
2015_206,2015-06-01,AREQUIPA,AREQUIPA,A.S.A.,VILLA UNION,CAN,NEGATIVO,1.1.40,D,D,-71.5055175132252, -16.3672496169297
2015_207,2015-06-03,AREQUIPA,AREQUIPA,J.L.B. Y R,13jan2023,CAN,NEGATIVO,1.8.16,B,B,-71.5304391483221, -16.4331892087993
2015_220,2015-06-05,AREQUIPA,AREQUIPA,CAYMA,CAYMA,CAN,NEGATIVO,1.3.5,B,B,-71.5486269577525, -16.3877358829383
2015_224,2015-06-11,AREQUIPA,AREQUIPA,A.S.A.,GRAFICOS,CAN,NEGATIVO,1.1.4,B,B,-71.5255009331634, -16.3852271213533
2015_226,2015-06-12,AREQUIPA,AREQUIPA,M. MELGAR,G. SAN MARTIN,CAN,NEGATIVO,1.10.37,C,C,-71.4963385419103, -16.4026411526127
2015_227,2015-06-12,AREQUIPA,AREQUIPA,M. MELGAR,G. SAN MARTIN,CAN,NEGATIVO,1.10.37,C,C,-71.4963385419103, -16.4026411526127
2015_228,2015-06-12,AREQUIPA,AREQUIPA,M. MELGAR,G. SAN MARTIN,CAN,NEGATIVO,1.10.37,C,C,-71.4963385419103, -16.4026411526127
2015_229,2015-06-13,AREQUIPA,AREQUIPA,A.S.A.,no consigna,CAN,NEGATIVO,NA,NA,NA,NA,NA
